route_name,route_description,total_complaints,boardings,bus_stop_issue,bus_stop_issue_ratio,bus_stop_issue_rank,bus_stop_issue_percent,capacity,capacity_ratio,capacity_rank,capacity_percent,cleanliness,cleanliness_ratio,cleanliness_rank,cleanliness_percent,no_stop,no_stop_ratio,no_stop_rank,no_stop_percent,driver_conduct,driver_conduct_ratio,driver_conduct_rank,driver_conduct_percent,fares,fares_ratio,fares_rank,fares_percent,maintenance,maintenance_ratio,maintenance_rank,maintenance_percent,misc,misc_ratio,misc_rank,misc_percent,passenger_conduct,passenger_conduct_ratio,passenger_conduct_rank,passenger_conduct_percent,praise,praise_ratio,praise_rank,praise_percent,safety,safety_ratio,safety_rank,safety_percent,schedule,schedule_ratio,schedule_rank,schedule_percent
46,Liberty City Connection,31,31078,2,6.4,8,6.5,4,12.9,1,12.9,0,0,73,0,1,3.2,50,3.2,0,0,89,0,0,0,49,0,0,0,65,0,6,19.3,2,19.4,0,0,34,0,0,0,85,0,0,0,86,0,18,57.9,10,58.1
48,Brickell to University Station,104,113273,1,0.9,59,1,2,1.8,13,1.9,0,0,73,0,11,9.7,8,10.6,10,8.8,9,9.6,1,0.9,3,1,0,0,65,0,8,7.1,7,7.7,0,0,34,0,3,2.6,17,2.9,6,5.3,5,5.8,62,54.7,11,59.6
51,Flagler Max: West Dade to Downtown Miami,317,1491349,8,0.5,74,2.5,2,0.1,75,0.6,4,0.3,55,1.3,37,2.5,70,11.7,48,3.2,55,15.1,1,0.1,45,0.3,6,0.4,21,1.9,25,1.7,55,7.9,0,0,34,0,13,0.9,53,4.1,29,1.9,28,9.1,144,9.7,65,45.4
52,Goulds to Dadeland South,263,876992,34,3.9,15,12.9,6,0.7,36,2.3,13,1.5,10,4.9,22,2.5,69,8.4,37,4.2,28,14.1,0,0,49,0,2,0.2,38,0.8,14,1.6,60,5.3,1,0.1,12,0.4,4,0.5,76,1.5,22,2.5,20,8.4,108,12.3,55,41.1
54,Hialeah Gardens to Biscayne Boulevard,582,1928720,46,2.4,31,7.9,8,0.4,48,1.4,9,0.5,33,1.5,38,2,81,6.5,52,2.7,73,8.9,3,0.2,31,0.5,3,0.2,51,0.5,24,1.2,71,4.1,2,0.1,14,0.3,28,1.5,34,4.8,9,0.5,81,1.5,360,18.7,38,61.9
56,Miami Children's Hospital to Southwest 162nd Avenue,233,299105,12,4,12,5.2,5,1.7,14,2.1,10,3.3,2,4.3,24,8,11,10.3,17,5.7,17,7.3,2,0.7,4,0.9,0,0,65,0,18,6,11,7.7,0,0,34,0,11,3.7,12,4.7,9,3,13,3.9,125,41.8,16,53.6
57,Miami International Airport to Southwest 152nd Street,179,235299,18,7.7,6,10.1,3,1.3,18,1.7,0,0,73,0,11,4.7,34,6.1,6,2.6,77,3.4,1,0.4,7,0.6,2,0.9,10,1.1,13,5.5,12,7.3,0,0,34,0,1,0.4,77,0.6,6,2.6,19,3.4,118,50.1,14,65.9
62,Miami Children's Hospital to Southwest 162nd Avenue,255,1590459,10,0.6,69,3.9,1,0.1,80,0.4,4,0.3,57,1.6,24,1.5,87,9.4,50,3.1,58,19.6,1,0.1,46,0.4,7,0.4,20,2.7,16,1,80,6.3,0,0,34,0,15,0.9,47,5.9,6,0.4,84,2.4,121,7.6,69,47.5
70,Cutler Bay to Florida City,240,764028,38,5,10,15.8,7,0.9,26,2.9,10,1.3,12,4.2,36,4.7,32,15,23,3,60,9.6,0,0,49,0,1,0.1,56,0.4,14,1.8,49,5.8,0,0,34,0,3,0.4,78,1.3,14,1.8,30,5.8,94,12.3,56,39.2
71,Dolphin Mall to Miami-Dade College Kendall,328,536848,13,2.4,30,4,15,2.8,9,4.6,7,1.3,13,2.1,37,6.9,15,11.3,17,3.2,57,5.2,0,0,49,0,0,0,65,0,7,1.3,69,2.1,0,0,34,0,9,1.7,29,2.7,14,2.6,18,4.3,209,38.9,17,63.7
72,South Miami to Bent Tree,405,526311,18,3.4,19,4.4,1,0.2,70,0.2,14,2.7,4,3.5,30,5.7,23,7.4,55,10.5,6,13.6,0,0,49,0,0,0,65,0,19,3.6,21,4.7,0,0,34,0,20,3.8,10,4.9,22,4.2,9,5.4,226,42.9,15,55.8
73,Northwest Dade to Dadeland South,407,1240344,43,3.5,18,10.6,4,0.3,54,1,9,0.7,25,2.2,52,4.2,39,12.8,44,3.5,44,10.8,1,0.1,43,0.2,2,0.2,49,0.5,27,2.2,39,6.6,0,0,34,0,27,2.2,21,6.6,16,1.3,49,3.9,182,14.7,48,44.7
75,Miami Lakes to Florida International University Biscayne Bay Campus,339,867313,26,3,24,7.7,2,0.2,66,0.6,6,0.7,27,1.8,59,6.8,16,17.4,55,6.3,15,16.2,3,0.3,10,0.9,1,0.1,59,0.3,23,2.7,33,6.8,4,0.5,3,1.2,7,0.8,58,2.1,24,2.8,17,7.1,129,14.9,47,38.1
77,Norwood to Downtown Miami,691,4920131,25,0.5,76,3.6,7,0.1,74,1,11,0.2,62,1.6,118,2.4,72,17.1,180,3.7,42,26,6,0.1,36,0.9,13,0.3,33,1.9,65,1.3,67,9.4,1,0,33,0.1,34,0.7,64,4.9,62,1.3,50,9,169,3.4,83,24.5
79,79th Street Max: Miami Beach to Northside,58,236747,2,0.8,61,3.4,2,0.8,28,3.4,0,0,73,0,10,4.2,38,17.2,7,3,61,12.1,0,0,49,0,0,0,65,0,4,1.7,51,6.9,0,0,34,0,2,0.8,55,3.4,4,1.7,34,6.9,27,11.4,59,46.6
87,Palmetto to Dadeland,366,959246,24,2.5,29,6.6,3,0.3,57,0.8,3,0.3,47,0.8,47,4.9,28,12.8,25,2.6,75,6.8,1,0.1,39,0.3,3,0.3,25,0.8,13,1.4,65,3.6,0,0,34,0,27,2.8,15,7.4,13,1.4,45,3.6,207,21.6,31,56.6
88,Southwest 162nd Ave to Dadeland North,365,1430823,19,1.3,48,5.2,8,0.6,43,2.2,10,0.7,26,2.7,48,3.4,45,13.2,25,1.7,84,6.8,4,0.3,14,1.1,12,0.8,11,3.3,23,1.6,59,6.3,1,0.1,23,0.3,13,0.9,49,3.6,9,0.6,78,2.5,193,13.5,52,52.9
93,Biscayne Max: Downtown Miami to Aventura,589,1671794,9,0.5,73,1.5,12,0.7,34,2,6,0.4,42,1,97,5.8,21,16.5,96,5.7,16,16.3,1,0.1,48,0.2,10,0.6,16,1.7,38,2.3,37,6.5,1,0.1,26,0.2,38,2.3,19,6.5,39,2.3,23,6.6,242,14.5,49,41.1
95,Interstate 95 Golden Glades Express/Dade-Broward Express,432,913182,18,2,37,4.2,9,1,23,2.1,16,1.8,7,3.7,57,6.2,19,13.2,35,3.8,39,8.1,2,0.2,22,0.5,8,0.9,9,1.9,41,4.5,14,9.5,1,0.1,13,0.2,49,5.4,6,11.3,27,3,14,6.3,169,18.5,39,39.1
99,Northwest Dade to Aventura Mall,421,1027828,27,2.6,27,6.4,11,1.1,21,2.6,9,0.9,17,2.1,34,3.3,47,8.1,41,4,33,9.7,0,0,49,0,6,0.6,17,1.4,34,3.3,26,8.1,0,0,34,0,6,0.6,70,1.4,14,1.4,44,3.3,239,23.3,27,56.8
101,Ventian Causeway,102,124364,2,1.6,43,2,7,5.6,3,6.9,1,0.8,21,1,9,7.2,14,8.8,11,8.8,8,10.8,0,0,49,0,0,0,65,0,4,3.2,27,3.9,0,0,34,0,0,0,85,0,2,1.6,37,2,66,53.1,13,64.7
102,Brickell Station to Key Biscayne,383,961572,4,0.4,79,1,12,1.2,19,3.1,2,0.2,65,0.5,46,4.8,30,12,39,4.1,29,10.2,1,0.1,40,0.3,3,0.3,26,0.8,33,3.4,22,8.6,0,0,34,0,11,1.1,43,2.9,10,1,59,2.6,222,23.1,30,58
103,Mount Sinai Hospital to Downtown Miami,206,2036898,8,0.4,80,3.9,6,0.3,59,2.9,7,0.3,44,3.4,47,2.3,76,22.8,51,2.5,78,24.8,6,0.3,13,2.9,3,0.1,53,1.5,12,0.6,90,5.8,0,0,34,0,26,1.3,38,12.6,16,0.8,76,7.8,24,1.2,92,11.7
104,The Hammocks to Miami-Dade College,189,648605,13,2,36,6.9,5,0.8,31,2.6,9,1.4,11,4.8,28,4.3,35,14.8,23,3.5,45,12.2,0,0,49,0,1,0.2,52,0.5,13,2,42,6.9,0,0,34,0,4,0.6,67,2.1,20,3.1,12,10.6,73,11.3,61,38.6
105,Golden Glades to Aventura,287,863942,12,1.4,47,4.2,5,0.6,39,1.7,3,0.3,43,1,50,5.8,22,17.4,37,4.3,25,12.9,0,0,49,0,2,0.2,37,0.7,9,1,78,3.1,1,0.1,11,0.3,10,1.2,41,3.5,16,1.9,29,5.6,142,16.4,45,49.5
